References,Vegetation,Local,Family,Specie,N(g kg-1),P(g kg-1),K(g kg-1),Ca(g kg-1),Mg(g kg-1),Fe(mg kg-1),Mn(mg kg-1),Zn(mg kg-1),Cu(mg kg-1),Al(mg kg-1)
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Phyllanthaceae,Hyeronima alchorneoides Allemão,1.84,0.15,0.71,0.18,0.34,94,43,NA,NA,1441
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Phyllanthaceae,Hyeronima alchorneoides Allemão,1.05,0.031,0.4,0.54,0.77,173,142,NA,NA,318
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Leguminosae,Inga alba (Sw.) Willd.,0.79,0.155,0.7,0.32,0.38,214,96,NA,NA,2078
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Leguminosae,Inga alba (Sw.) Willd.,1.84,0.032,0.69,0.49,0.64,128,136,NA,NA,382
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,1.11,0.083,0.41,0.28,0.25,132,96,NA,NA,867
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,1.18,0.025,0.45,0.26,0.32,159,186,NA,NA,357
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Lauraceae,Ocotea pomaderroides (Meisn.) Mez,1.58,0.021,0.63,0.66,0.35,113,1078,NA,NA,270
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Lauraceae,Ocotea sp,1.05,0.084,0.68,0.55,0.35,133,681,NA,NA,660
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Lauraceae,Ocotea sp,1.05,0.056,0.95,1.12,0.78,129,141,NA,NA,395
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,1.22,0.101,0.85,0.46,0.35,84,51,NA,NA,1018
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,1.4,0.017,0.89,0.52,0.51,105,47,NA,NA,296
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Moraceae,Pseudolmedia laevigata Trécul,1.14,0.092,0.92,0.56,0.58,114,710,NA,NA,530
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Moraceae,Pseudolmedia laevigata Trécul,1.23,0.031,1.21,0.45,0.53,120,666,NA,NA,270
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Phyllanthaceae,Richeria obovata (Müll.Arg.) Pax & K.Hoffm.,1.58,0.011,1.84,0.57,0.74,103,78,NA,NA,8147
"Silva, P.E.N. (1991)",mata,Olho d'água da Onça,Anacardiaceae,Tapirira guianensis Aubl.,1.36,0.082,0.54,1.58,0.59,145,46,NA,NA,867
