references,vegetation,local,family,specie,month,nitrogen,phosphorus,potassium,calcium,magnesium,iron,manganese,zinc,copper,aluminum
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,march,1.18,25,0.45,0.26,0.32,159,186,NA,NA,357
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Lauraceae,Ocotea pomaderroides (Meisn.) Mez,march,1.58,21,0.63,0.66,0.35,113,1078,NA,NA,270
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Lauraceae,Ocotea sp,september,1.05,84,0.68,0.55,0.35,133,681,NA,NA,660
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Lauraceae,Ocotea sp,march,1.05,56,0.95,1.12,0.78,129,141,NA,NA,395
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,september,1.22,101,0.85,0.46,0.35,84,51,NA,NA,1018
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,march,1.40,17,0.89,0.52,0.51,105,47,NA,NA,296
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Moraceae,Pseudolmedia laevigata Trécul,september,1.14,92,0.92,0.56,0.58,114,710,NA,NA,530
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Moraceae,Pseudolmedia laevigata Trécul,march,1.23,31,1.21,0.45,0.53,120,666,NA,NA,270
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Phyllanthaceae,Richeria obovata (Müll.Arg.) Pax & K.Hoffm.,march,1.58,11,1.84,0.57,0.74,103,78,NA,NA,8147
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Anacardiaceae,Tapirira guianensis Aubl.,september,1.36,82,0.54,1.58,0.59,145,46,NA,NA,867
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Anacardiaceae,Tapirira guianensis Aubl.,march,0.96,31,0.61,1.47,0.55,98,45,NA,NA,241
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Myristicaceae,Virola sebifera Aubl.,september,0.96,94,0.65,0.18,0.16,129,279,NA,NA,1416
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Myristicaceae,Virola sebifera Aubl.,march,1.40,23,0.78,0.33,0.45,128,485,NA,NA,350
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Annonaceae,Xylopia sericea A.St.-Hil.,september,1.11,104,1.27,0.64,0.62,140,128,NA,NA,1078
"Silva, P.E.N. (1991)",Mata,Olho d'água da Onça,Annonaceae,Xylopia sericea A.St.-Hil.,march,1.23,21,1.15,0.44,0.40,102,475,NA,NA,286
"Silva, P.E.N. (1991)",Mata,Taquara,Anarcadiaceae,Astronium graveolens Jacq.,september,1.32,101,0.65,0.68,0.37,101,38,NA,NA,1723
"Silva, P.E.N. (1991)",Mata,Taquara,Calophyllaceae,Calophyllum brasiliense Cambess.,september,1.58,0.05,0.48,1.53,0.30,79,19,NA,NA,1132
"Silva, P.E.N. (1991)",Mata,Taquara,Calophyllaceae,Calophyllum brasiliense Cambess.,march,1.44,0.06,0.47,1.33,0.51,83,27,NA,NA,409
"Silva, P.E.N. (1991)",Mata,Taquara,Meliaceae,Cedrela odorata L.,september,0.92,0.19,1.43,0.87,0.33,84,17,NA,NA,613
"Silva, P.E.N. (1991)",Mata,Taquara,Meliaceae,Cedrela odorata L.,march,1.57,0.07,0.67,1.83,0.26,136,24,NA,NA,366
"Silva, P.E.N. (1991)",Mata,Taquara,Proteaceae,Euplassa inaequalis (Pohl) Engl.,september,2.90,0.14,1.59,0.49,0.37,98,50,NA,NA,10017
"Silva, P.E.N. (1991)",Mata,Taquara,Proteaceae,Euplassa inaequalis (Pohl) Engl.,march,NA,0.05,1.39,0.94,0.35,130,110,NA,NA,13565
"Silva, P.E.N. (1991)",Mata,Taquara,Araliaceae,Dendropanax cuneatus (DC.) Decne. & Planch.,september,0.96,0.09,2.08,2.45,0.61,90,128,NA,NA,1045
"Silva, P.E.N. (1991)",Mata,Taquara,Araliaceae,Dendropanax cuneatus (DC.) Decne. & Planch.,march,1.44,0.07,1.92,2.71,0.81,130,225,NA,NA,480
"Silva, P.E.N. (1991)",Mata,Taquara,Nyctaginaceae,Guapira sp,september,1.97,0.06,0.93,1.15,0.97,127,212,NA,NA,1488
